TARGET,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum $,TLMaxSum $,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
1,3,3,0,4,0,5,117,27,0,0,0,5,19410,21147,16,TRUE,1,3,3,92,21,2,3,7,21,4,4,0
1,15,9,0,3,1,3,14,14,0,0,1,1,16776,20971,1,FALSE,0,1,1,80,0,0,0,0,100,12,0,100
1,0,0,0,1,5,1,354,7,0,2,10,19,16903,47593,21,TRUE,1,4,5,36,65,0,1,1,73,1,1,53
1,8,5,0,6,1,10,16,4,0,2,4,3,18339,20093,1,TRUE,0,2,3,91,25,1,1,1,75,7,1,133
1,3,1,0,9,0,8,130,52,0,0,0,1,2327,1860,3,TRUE,1,1,1,125,0,0,1,4,14,3,1,0
1,1,1,1,2,2,0,124,3,1,4,5,5,5961,5800,5,TRUE,0,4,4,103,50,0,0,2,63,0,0,100
1,0,0,0,1,3,1,148,10,0,2,6,14,55642,77854,24,FALSE,0,7,9,71,59,3,0,0,52,0,0,43
1,3,2,0,5,1,3,124,2,1,4,6,7,14577,21638,12,FALSE,0,4,4,67,53,2,0,2,47,1,1,86
1,1,1,0,2,0,3,286,6,0,2,6,6,26853,33562,5,TRUE,2,3,4,80,15,1,5,6,46,5,5,100
1,0,0,0,0,15,0,175,25,0,0,0,10,36424,61036,17,TRUE,0,4,5,60,61,1,0,1,56,0,0,0
1,2,2,0,5,0,6,177,8,0,1,7,9,56432,75953,19,TRUE,1,4,7,74,38,3,1,2,43,2,2,78
1,8,7,0,0,23,1,129,16,0,0,2,3,8526,9602,1,TRUE,2,3,3,89,0,0,2,2,75,9,2,67
1,1,0,1,8,1,6,168,7,0,1,4,6,19415,35027,9,TRUE,0,3,4,55,15,3,2,18,22,2,4,67
1,0,0,0,1,6,2,129,8,0,1,3,14,15335,26706,23,FALSE,0,4,7,57,48,3,0,0,56,0,0,21
1,6,3,0,1,0,0,59,8,0,2,3,3,706,716,4,TRUE,1,2,2,99,50,0,1,2,50,4,1,100
